productCode,casNum,compound,smiles,flashPoint,img,sds
AKB157.1,121-43-7,BORON METHOXIDE,C[O-].[B+3].C[O-].C[O-],7,https://www.gelest.com:443/wp-content/uploads/product_thumbnails/AKB157.1.gif,https://s3.amazonaws.com/gelest/sds/AKB157.1_GHS+US_English+US.pdf
AKB158,14983-42-7,BORON METHOXYETHOXIDE,COC([O-])C.[B+3].COC([O-])C.COC([O-])C,113,https://www.gelest.com:443/wp-content/uploads/product_thumbnails/AKB158.gif,https://s3.amazonaws.com/gelest/sds/AKB158_GHS+US_English+US.pdf
AKB158.5,688-71-1,BORON n-PROPOXIDE,[O-]CCC.[B+3].[O-]CCC.[O-]CCC,20,https://www.gelest.com:443/wp-content/uploads/product_thumbnails/AKB158.5.gif,https://s3.amazonaws.com/gelest/sds/AKB158.5_GHS+US_English+US.pdf
AKC159.8,14239-68-0,CADMIUM DIETHYLDITHIOCARBAMATE,C(C)N(C([S-])=S)CC.[Cd+2].C(C)N(C([S-])=S)CC,0,https://www.gelest.com:443/wp-content/uploads/product_thumbnails/AKC159.8.gif,https://s3.amazonaws.com/gelest/sds/AKC159.8_GHS+US_English+US.pdf
AKC162,2914-17-2,CALCIUM ETHOXIDE,[O-]CC.[Ca+2].[O-]CC,20,https://www.gelest.com:443/wp-content/uploads/product_thumbnails/AKC162.gif,https://s3.amazonaws.com/gelest/sds/AKC162_GHS+US_English+US.pdf
AKC167,28099-67-4,CALCIUM METHOXYETHOXIDE,COC([O-])C.[Ca+2].COC([O-])C,39,https://www.gelest.com:443/wp-content/uploads/product_thumbnails/AKC167.gif,https://s3.amazonaws.com/gelest/sds/AKC167_GHS+US_English+US.pdf
AKC176,90595-53-2,CERIUM(IV) t-BUTOXIDE,CC(C)(C)[O-].[Ce+4].CC(C)(C)[O-].CC(C)(C)[O-].CC(C)(C)[O-],0,https://www.gelest.com:443/wp-content/uploads/product_thumbnails/AKC176.gif,https://s3.amazonaws.com/gelest/sds/AKC176_GHS+US_English+US.pdf
AKC180,63007-83-0,CERIUM(IV) ISOPROPOXIDE,CC([O-])C.[Ce+4].CC([O-])C.CC([O-])C.CC([O-])C,120,https://www.gelest.com:443/wp-content/uploads/product_thumbnails/AKC180.gif,https://s3.amazonaws.com/gelest/sds/AKC180_GHS+US_English+US.pdf
AKC186,876107-33-4,CERIUM(IV) METHOXYETHOXIDE,COC([O-])C.[Ce+4].COC([O-])C.COC([O-])C.COC([O-])C,39,https://www.gelest.com:443/wp-content/uploads/product_thumbnails/AKC186.gif,https://s3.amazonaws.com/gelest/sds/AKC186_GHS+US_English+US.pdf
AKC192,13106-69-9,CESIUM METHOXIDE,C[O-].[Cs+],11,https://www.gelest.com:443/wp-content/uploads/product_thumbnails/AKC192.gif,https://s3.amazonaws.com/gelest/sds/AKC192_GHS+US_English+US.pdf
