productCode,casNum,compound,smiles,flashPoint,img,sds
ENEE1040,18328-90-0,N-Ethyl-(2-methylallyl)amine,C(C)NCC(=C)C,7,https://www.gelest.com:443/wp-content/uploads/product_thumbnails/ENEE1040.gif,https://s3.amazonaws.com/gelest/sds/ENEE1040_GHS+US_English+US.pdf
ENEE1060,109-92-2,ETHYLVINYL ETHER,C(C)OC=C,46,https://www.gelest.com:443/wp-content/uploads/ENEE1060.png,https://s3.amazonaws.com/gelest/sds/ENEE1060_GHS+US_English+US.pdf
ENEH1110,592-76-7,1-Heptene,C=CCCCCC,9,https://www.gelest.com:443/wp-content/uploads/product_thumbnails/ENEH1110.gif,https://s3.amazonaws.com/gelest/sds/ENEH1110_GHS+US_English+US.pdf
ENEH1140,18835-33-1,1-Hexacosene,C=CCCCCCCCCCCCCCCCCCCCCCCCC,214,https://www.gelest.com:443/wp-content/uploads/product_thumbnails/ENEH1140.gif,https://s3.amazonaws.com/gelest/sds/ENEH1140_GHS+US_English+US.pdf
ENEH1170,629-73-2,1-Hexadecene,C=CCCCCCCCCCCCCCC,132,https://www.gelest.com:443/wp-content/uploads/product_thumbnails/ENEH1170.gif,https://s3.amazonaws.com/gelest/sds/ENEH1170_GHS+US_English+US.pdf
ENEH1200,592-41-6,1-Hexene,C=CCCCC,25,https://www.gelest.com:443/wp-content/uploads/product_thumbnails/ENEH1200.gif,https://s3.amazonaws.com/gelest/sds/ENEH1200_GHS+US_English+US.pdf
ENEI1470,107-39-1,Isooctene,C(=C)(C)CC(C)(C)C,4,https://www.gelest.com:443/wp-content/uploads/product_thumbnails/ENEI1470.gif,https://s3.amazonaws.com/gelest/sds/ENEI1470_GHS+US_English+US.pdf
ENEM2020,513-42-8,Methallyl alcohol,C(C(C)=C)O,32,https://www.gelest.com:443/wp-content/uploads/product_thumbnails/ENEM2020.gif,https://s3.amazonaws.com/gelest/sds/ENEM2020_GHS+US_English+US.pdf
ENEM2040,563-47-3,Methallyl chloride,C(C(C)=C)Cl,10,https://www.gelest.com:443/wp-content/uploads/product_thumbnails/ENEM2040.gif,https://s3.amazonaws.com/gelest/sds/ENEM2040_GHS+US_English+US.pdf
ENEM2050,1319736-08-7,11-(Methoxyethoxy)undecene,COCCOCCCCCCCCCC=C,110,https://www.gelest.com:443/wp-content/uploads/product_thumbnails/ENEM2050.gif,https://s3.amazonaws.com/gelest/sds/ENEM2050_GHS+US_English+US.pdf
ENEM2100,513-35-9,2-Methyl-2-butene,CC(C)=CC,45,https://www.gelest.com:443/wp-content/uploads/ENEM2100.png,https://s3.amazonaws.com/gelest/sds/ENEM2100_GHS+US_English+US.pdf
ENEM2120,16529-56-9,2-Methyl-3-butenenitrile,CC(C#N)C=C,15,https://www.gelest.com:443/wp-content/uploads/ENEM2120.png,https://s3.amazonaws.com/gelest/sds/ENEM2120_GHS+US_English+US.pdf
ENEM2230,210573-39-0,7-Methylenepentadecane,C=C(CCCCCC)CCCCCCCC,110,https://www.gelest.com:443/wp-content/uploads/product_thumbnails/ENEM2230.gif,https://s3.amazonaws.com/gelest/sds/ENEM2230_GHS+US_English+US.pdf
ENEM2450,111-81-9,Methyl 10-undecenoate,C(CCCCCCCCC=C)(=O)OC,115,https://www.gelest.com:443/wp-content/uploads/product_thumbnails/ENEM2450.gif,https://s3.amazonaws.com/gelest/sds/ENEM2450_GHS+US_English+US.pdf
ENEN3030,558-37-2,Neohexene,C=CC(C)(C)C,32,https://www.gelest.com:443/wp-content/uploads/product_thumbnails/ENEN3030.gif,https://s3.amazonaws.com/gelest/sds/ENEN3030_GHS+US_English+US.pdf
ENEN3060,498-66-8,Norbornene,C12C=CC(CC1)C2,7,https://www.gelest.com:443/wp-content/uploads/product_thumbnails/ENEN3060.gif,https://s3.amazonaws.com/gelest/sds/ENEN3060_GHS+US_English+US.pdf
ENEO3210,112-88-9,1-Octadecene,C=CCCCCCCCCCCCCCCCC,154,https://www.gelest.com:443/wp-content/uploads/product_thumbnails/ENEO3210.gif,https://s3.amazonaws.com/gelest/sds/ENEO3210_GHS+US_English+US.pdf
