id,compound,smiles,flashPoint
molid480,TITANIUM TETRAKIS(DIMETHYLAMIDE),C[N-]C.C[N-]C.C[N-]C.C[N-]C.[Ti+4],-1
molid493,LEAD(II) NITRATE,[N+](=O)([O-])[O-].[Pb+2].[N+](=O)([O-])[O-],20
molid498,TRIS(TRIMETHYLSILOXY)BORON,C[Si](OB(O[Si](C)(C)C)O[Si](C)(C)C)(C)C,42
molid535,DIMETHYLDIFLUOROTIN,C[Sn](F)(F)C,20
molid540,DIOCTYLDILAURYLTIN,C(CCCCCCC)[Sn](CCCCCCCCCCCC)(CCCCCCCCCCCC)CCCCCCCC,70
molid545,DIVINYLDI-n-BUTYLTIN,C(=C)[Sn](CCCC)(CCCC)C=C,65
molid550,p-FLUOROPHENYLTRI-n-BUTYLTIN,FC1=CC=C(C=C1)[Sn](CCCC)(CCCC)CCCC,110
molid555,PHENYLTRI-n-BUTYLTIN,C1(=CC=CC=C1)[Sn](CCCC)(CCCC)CCCC,107
molid576,TETRA-p-TOLYLTIN,C1(=CC=C(C=C1)[Sn](C1=CC=C(C=C1)C)(C1=CC=C(C=C1)C)C1=CC=C(C=C1)C)C,200
molid579,TIN,[Sn],1166
molid594,TRI-n-BUTYLCHLOROTIN,C(CCC)[Sn](Cl)(CCCC)CCCC,120
molid614,TRIPHENYLHYDROXYTIN,C1(=CC=CC=C1)[Sn](O)(C1=CC=CC=C1)C1=CC=CC=C1,110
molid618,VINYLTRI-n-BUTYLTIN,C(=C)[Sn](CCCC)(CCCC)CCCC,110
