id,compound,smiles,flashPoint
molid49,ALLYLMETHYLDICHLOROSILANE,C(C=C)C[SiH](Cl)Cl,27.0
molid50,ALLYLOXY-t-BUTYLDIMETHYLSILANE,C(C=C)O[Si](C)(C)C(C)(C)C,32.0
molid51,ALLYLOXYTRIMETHYLSILANE,C(C=C)O[Si](C)(C)C,0.0
molid52,ALLYLMETHYLDIMETHOXYSILANE,C(C=C)C[SiH](OC)OC,40.0
molid53,ALLYLPHENYLDICHLOROSILANE,C(C=C)[Si](Cl)(Cl)C1=CC=CC=C1,76.0
molid54,m-ALLYLPHENYLPROPYLTRIETHOXYSILANE,C(C=C)C=1C=C(C=CC1)CCC[Si](OCC)(OCC)OCC,110.0
molid55,ALLYLTRICHLOROSILANE,C(C=C)[Si](Cl)(Cl)Cl,31.0
molid56,ALLYLTRIETHOXYSILANE,C(C=C)[Si](OCC)(OCC)OCC,47.0
molid57,ALLYLTRIISOPROPYLSILANE,C(C=C)[Si](C(C)C)(C(C)C)C(C)C,76.0
molid58,ALLYLTRIMETHOXYSILANE,C(C=C)[Si](OC)(OC)OC,46.0
molid59,ALLYLTRIMETHYLSILANE,C(C=C)[Si](C)(C)C,7.0
molid60,ALLYLTRIPHENYLSILANE,C(C=C)[Si](C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1,200.0
molid61,ALLYLTRIS(TRIMETHYLSILOXY)SILANE,C(C=C)[Si](O[Si](C)(C)C)(O[Si](C)(C)C)O[Si](C)(C)C,67.0
molid63,1-AMINO-2-(DIMETHYLETHOXYSILYL)PROPANE,NCC(C)[Si](OCC)(C)C,65.0
molid64,(AMINOETHYLAMINOMETHYL)PHENETHYLTRIMETHOXYSILANE,NCCNCCO[Si](OC)(OC)CCC1=CC=CC=C1,110.0
molid65,N-(2-AMINOETHYL)-3-AMINOPROPYLMETHYLDIETHOXYSILANE,NCCNCCC[Si](OCC)(OCC)C,110.0
molid66,N-(2-AMINOETHYL)-3-AMINOPROPYLMETHYLDIMETHOXYSILANE,NCCNCCC[Si](OC)(OC)C,90.0
molid67,N-(2-AMINOETHYL)-3-AMINOPROPYLSILANETRIOL,NCCNCCC[Si](O)(O)O,110.0
molid68,N-(2-AMINOETHYL)-3-AMINOPROPYLTRIETHOXYSILANE,NCCNCCC[Si](OCC)(OCC)OCC,148.0
molid71,N-(2-AMINOETHYL)-3-AMINOPROPYLTRIMETHOXYSILANE-PROPYLTRIMETHOXYSILANE,C(CC)[Si](OC)(OC)OC.NCCNCCC[Si](OC)(OC)OC,110.0
molid72,N-(6-AMINOHEXYL)AMINOMETHYLTRIETHOXYSILANE,NCCCCCCNC[Si](OCC)(OCC)OCC,110.0
molid74,N-(2-AMINOETHYL)-11-AMINOUNDECYLTRIMETHOXYSILANE,NCCNCCCCCCCCCCC[Si](OC)(OC)OC,150.0
molid76,3-(m-AMINOPHENOXY)PROPYLTRIMETHOXYSILANE,NC=1C=C(OCCC[Si](OC)(OC)OC)C=CC1,110.0
molid77,m-AMINOPHENYLTRIMETHOXYSILANE,NC=1C=C(C=CC1)[Si](OC)(OC)OC,180.0
molid78,p-AMINOPHENYLTRIMETHOXYSILANE,NC1=CC=C(C=C1)[Si](OC)(OC)OC,180.0
molid79,AMINOPHENYLTRIMETHOXYSILANE,NCO[Si](OC)(OC)C1=CC=CC=C1,180.0
molid80,3-AMINOPROPYLDIISOPROPYLETHOXYSILANE,NCCC[Si](OCC)(C(C)C)C(C)C,100.0
molid81,3-AMINOPROPYLDIMETHYLETHOXYSILANE,NCCC[Si](OCC)(C)C,73.0
molid82,3-AMINOPROPYLDIMETHYLMETHOXYSILANE,NCCC[Si](OC)(C)C,20.0
molid83,3-AMINOPROPYLMETHYLBIS(TRIMETHYLSILOXY)SILANE,NCCC[Si](O[Si](C)(C)C)(O[Si](C)(C)C)C,110.0
molid84,3-AMINOPROPYLMETHYLDIETHOXYSILANE,NCCC[Si](OCC)(OCC)C,85.0
molid85,3-AMINOPROPYLPENTAMETHYLDISILOXANE,NCCC[Si](O[Si](C)(C)C)(C)C,65.0
molid87,3-AMINOPROPYLTRIETHOXYSILANE,NCCC[Si](OCC)(OCC)OCC,104.0
molid90,3-AMINOPROPYLTRIMETHYLSILANE,NCCC[Si](C)(C)C,59.0
molid91,3-AMINOPROPYLTRIS(METHOXYETHOXYETHOXY)SILANE,NCCC[Si](OCCOCCOC)(OCCOCCOC)OCCOCCOC,68.0
molid92,3-AMINOPROPYLTRIS(TRIMETHYLSILOXY)SILANE,NCCC[Si](O[Si](C)(C)C)(O[Si](C)(C)C)O[Si](C)(C)C,110.0
molid94,ANILINOTRIMETHYLSILANE,N(C1=CC=CC=C1)[Si](C)(C)C,65.0
molid95,(9)-ANTHRACENYLTRIMETHOXYSILANE,C1=CC=CC2=CC3=CC=CC=C3C(=C12)[Si](OC)(OC)OC,110.0
molid96,(AZIDOMETHYL)PHENETHYLTRIMETHOXYSILANE,N(=[N+]=[N-])CCO[Si](OC)(OC)CCC1=CC=CC=C1,110.0
molid97,p-AZIDOMETHYLPHENYLTRIMETHOXYSILANE,N(=[N+]=[N-])CC1=CC=C(C=C1)[Si](OC)(OC)OC,110.0
molid98,(AZIDOMETHYL)TRIMETHYLSILANE,N(=[N+]=[N-])C[Si](C)(C)C,6.0
molid99,3-AZIDOPROPYLTRIETHOXYSILANE,N(=[N+]=[N-])CCC[Si](OCC)(OCC)OCC,110.0
molid100,6-AZIDOSULFONYLHEXYLTRIETHOXYSILANE,N(=[N+]=[N-])S(=O)(=O)CCCCCC[Si](OCC)(OCC)OCC,114.0
molid101,4-(AZIDOSULFONYL)PHENETHYLTRIMETHOXYSILANE,N(=[N+]=[N-])S(=O)(=O)C1=CC=C(CC[Si](OC)(OC)OC)C=C1,29.0
molid102,Allyl acetate,C(C)(=O)OCC=C,11.0
molid103,Allyl acrylate,C(C=C)(=O)OCC=C,32.0
molid105,Allyl bromide,C(C=C)Br,2.0
molid106,Allyl 2-bromo-2-methylpropionate,BrC(C(=O)OCC=C)(C)C,64.0
molid107,Allyl chloride,C(C=C)Cl,31.0
molid108,Allyl glycidyl ether,C(C1CO1)OCC=C,57.0
molid109,Allyl isocyanate,C(C=C)N=C=O,43.0
molid110,Allyl methacrylate,C(C(=C)C)(=O)OCC=C,39.0
