compound,flashPoint,Predicted,Status,nF,RDCHI,MATS1m,Mor02p,RTv,smiles,id
Methylvinyldimethoxysilane,3.850000000000023,10.340000000000034,Training,0,1.851,0.882,9.261000000000001,3.948,CC=C[SiH](OC)OC,molid42
Trimethylvinylsilane,-34.149999999999984,-21.399999999999977,Training,0,1.43,0.847,12.504000000000001,3.8310000000000004,CC(=C(C)C)[SiH3],molid43
Diethylmethylchlorosilane,14.850000000000026,16.890000000000047,Training,0,1.575,0.892,12.556,5.1560000000000015,C(C)[Si](Cl)(C)CC,molid44
Chloromethyldimethylethoxysilane,25.850000000000023,20.80000000000001,Training,0,1.7369999999999999,0.9009999999999999,10.78,4.66,ClC[Si](OCC)(C)C,molid45
Ethyltrimethoxysilane,26.850000000000023,13.050000000000011,Training,0,1.8159999999999998,0.884,8.193,4.553,C(C)[Si](OC)(OC)OC,molid46
"(N,N-Dimethylamino)trimethylsilane",-19.149999999999977,-13.549999999999955,Training,0,1.5090000000000001,0.8420000000000001,12.222000000000001,4.357,CN(C)[Si](C)(C)C,molid47
Pentamethyldisiloxane,-19.149999999999977,-4.949999999999988,Training,0,1.689,0.846,9.142999999999999,4.636,C[SiH](O[Si](C)(C)C)C,molid49
Phenyldichlorosilane,59.850000000000016,57.73000000000002,Training,0,2.048,0.968,10.44,4.25,C1(=CC=CC=C1)[SiH](Cl)Cl,molid50
Phenylsilane,7.850000000000023,10.590000000000034,Training,0,1.857,0.888,10.629000000000001,3.464,C1(=CC=CC=C1)[SiH3],molid51
1-Hexenyltrichlorosilane,59.850000000000016,78.83000000000004,Training,0,2.097,0.9590000000000001,14.956,5.396,C(=CCCCC)[Si](Cl)(Cl)Cl,molid52
Bis(chloromethyl)tetramethyldisiloxane,72.85000000000002,50.23000000000002,Training,0,1.9780000000000002,0.914,7.995,6.228,ClC[Si](O[Si](C)(C)C)(C)CCl,molid53
N-Methyl-N-trimethylsilyltrifluoroacetamide,24.850000000000023,0.5,Training,3,1.984,0.93,11.321,4.979,CN(C(C(F)(F)F)=O)[Si](C)(C)C,molid54
Propargyloxytrimethylsilane,26.850000000000023,14.25,Training,0,1.774,0.88,11.468,4.388999999999999,C(C#C)O[Si](C)(C)C,molid55
Dimethyldiacetoxysilane,36.85000000000002,40.99000000000001,Training,0,2.042,0.915,9.177999999999999,4.709,C[Si](OC(C)=O)(OC(C)=O)C,molid56
Divinyldimethylsilane,7.850000000000023,-3.3100000000000023,Training,0,1.575,0.863,12.152000000000001,4.273,C(=C)[Si](C)(C)C=C,molid57
n-Hexyltrichlorosilane,84.85000000000002,79.21000000000005,Training,0,2.097,0.9490000000000001,15.863,5.5870000000000015,C(CCCCC)[Si](Cl)(Cl)Cl,molid58
Vinyldimethylethoxysilane,3.850000000000023,6.680000000000009,Training,0,1.7369999999999999,0.866,11.214,4.394,C(=C)[Si](OCC)(C)C,molid59
"1,1-Dimethyl-1-sila-2-oxacyclohexane",13.850000000000026,25.44,Training,0,1.876,0.8640000000000001,13.936,4.925,C[Si]1(OCCCC1)C,molid60
Allyloxytrimethylsilane,-0.14999999999997726,10.390000000000043,Training,0,1.774,0.866,11.982999999999999,4.386,C(C=C)O[Si](C)(C)C,molid61
Acetoxymethyltrimethylsilane,19.850000000000023,22.820000000000054,Training,0,1.858,0.882,11.699000000000002,4.619,C(C)(=O)OC[Si](C)(C)C,molid62
Allyltrimethylsilane,6.850000000000023,-4.229999999999961,Training,0,1.604,0.848,13.008,4.352,C(C=C)[Si](C)(C)C,molid63
Triethylchlorosilane,29.850000000000023,22.450000000000053,Training,0,1.703,0.888,12.665,5.072,C(C)[Si](Cl)(CC)CC,molid64
t-Butyldimethylchlorosilane,21.850000000000023,20.090000000000032,Training,0,1.5490000000000002,0.888,14.179,5.421,C(C)(C)(C)[Si](Cl)(C)C,molid65
3-Chloropropyltrimethoxysilane,74.85000000000002,50.890000000000036,Training,0,2.1,0.9129999999999999,10.162,5.1979999999999995,ClCCC[Si](OC)(OC)OC,molid66
Trimethyl-n-propoxysilane,9.850000000000025,7.480000000000018,Training,0,1.774,0.853,12.509,4.438,C[Si](OCCC)(C)C,molid67
t-Butyldimethylsilanol,44.850000000000016,3.5200000000000387,Training,0,1.5490000000000002,0.852,14.717,4.933,C(C)(C)(C)[Si](O)(C)C,molid68
Dimethyldiethoxysilane,10.850000000000025,15.840000000000035,Training,0,1.8869999999999998,0.8690000000000001,8.448,4.869,C[Si](OCC)(OCC)C,molid69
Triethylsilane,-3.1499999999999773,-4.819999999999993,Training,0,1.6980000000000002,0.83,13.052,4.355,C(C)[SiH](CC)CC,molid70
Hexylsilane,11.850000000000026,-0.9099999999999682,Training,0,1.84,0.825,14.878,3.725,C(CCCCC)[SiH3],molid71
t-Butyldimethylsilane,-22.149999999999977,-7.67999999999995,Training,0,1.5090000000000001,0.83,14.789000000000001,4.811,C(C)(C)(C)[SiH](C)C,molid72
Hexamethylcyclotrisiloxane,31.850000000000023,30.220000000000034,Training,0,2.068,0.875,3.909,5.92,C[Si]1(O[Si](O[Si](O1)(C)C)(C)C)C,molid74
Hexamethyldisilthiane,25.850000000000023,16.370000000000005,Training,0,1.733,0.862,10.57,5.608,C[Si](S[Si](C)(C)C)(C)C,molid75
Hexamethyldisilane,-1.1499999999999773,-9.21999999999997,Training,0,1.5490000000000002,0.8340000000000001,10.32,5.192,C[Si]([Si](C)(C)C)(C)C,molid76
Tris(dimethylamino)silane,24.850000000000023,17.620000000000005,Training,0,1.8869999999999998,0.855,8.334,5.5310000000000015,CN(C)[SiH](N(C)C)N(C)C,molid77
Hexamethyltrisiloxane,19.850000000000023,24.68000000000001,Training,0,2.042,0.855,5.9979999999999976,5.791,C[Si](O[SiH2]O[Si](C)(C)C)(C)C,molid78
Phenylmethyldichlorosilane,81.85000000000002,84.01000000000005,Training,0,2.2030000000000003,0.955,11.59,6.093999999999999,C1(=CC=CC=C1)C[SiH](Cl)Cl,molid79
Phenylmethylchlorosilane,81.85000000000002,57.08000000000004,Training,0,2.048,0.93,11.776,5.1960000000000015,C1(=CC=CC=C1)C[SiH2]Cl,molid80
Trivinylmethylsilane,14.850000000000026,12.290000000000019,Training,0,1.703,0.8759999999999999,11.769,4.678999999999999,C(=C)C(C=C)(C=C)[SiH3],molid81
"1-(Trimethylsiloxy)-1,3-butadiene",24.850000000000023,28.77000000000004,Training,0,1.9380000000000002,0.877,13.834000000000001,4.476,C[Si](OC=CC=C)(C)C,molid83
n-Hexylmethyldichlorosilane,84.85000000000002,68.35000000000002,Training,0,2.097,0.919,17.436,5.2379999999999995,C(CCCCC)[Si](Cl)(Cl)C,molid85
Vinylmethyldiethoxysilane,15.850000000000026,28.890000000000054,Training,0,1.992,0.878,8.322000000000001,5.245,C(=C)C[SiH](OCC)OCC,molid86
Vinyldiethylmethylsilane,14.850000000000026,8.520000000000039,Training,0,1.703,0.848,13.193,4.973,C(=C)[Si](C)(CC)CC,molid87
N-(Trimethylsilyl)morpholine,26.850000000000023,40.09000000000003,Training,0,2.072,0.867,11.690999999999999,5.56,C[Si](N1CCOCC1)(C)C,molid88
Bis(trimethylsilyl)carbodiimide,41.85000000000002,61.43000000000001,Training,0,2.063,0.867,25.353,4.935,C[Si](C)(C)N=C=N[Si](C)(C)C,molid89
t-Butoxytrimethylsilane,13.850000000000026,10.790000000000019,Training,0,1.733,0.853,10.645,5.36,C(C)(C)(C)O[Si](C)(C)C,molid90
Vinylpentamethyldisiloxane,11.850000000000026,19.650000000000034,Training,0,1.859,0.858,9.821,5.4879999999999995,C(=C)[Si](O[Si](C)(C)C)(C)C,molid91
Isobutyltrimethoxysilane,41.85000000000002,36.76000000000005,Training,0,2.028,0.879,10.517000000000001,5.3229999999999995,C(C(C)C)[Si](OC)(OC)OC,molid92
Methyltriethoxysilane,23.850000000000023,37.53000000000004,Training,0,2.122,0.879,8.897,5.185,C[Si](OCC)(OCC)OCC,molid93
(Diethylamino)trimethylsilane,9.850000000000025,12.640000000000045,Training,0,1.787,0.8440000000000001,10.758,5.5089999999999995,C(C)N(CC)[Si](C)(C)C,molid94
Phenylethyldichlorosilane,91.85000000000002,84.54000000000002,Training,0,2.18,0.9520000000000001,12.975999999999999,6.1,C1(=CC=CC=C1)CC[SiH](Cl)Cl,molid96
Phenyldimethylchlorosilane,60.850000000000016,62.98000000000002,Training,0,2.072,0.924,12.600999999999999,5.662000000000001,C1(=CC=CC=C1)[Si](Cl)(C)C,molid97
"(N,N-Dimethylamino)triethylsilane",25.850000000000023,24.879999999999995,Training,0,1.8719999999999999,0.8440000000000001,11.298,6.091,CN(C)[Si](CC)(CC)CC,molid98
Tetravinylsilane,17.850000000000023,28.470000000000034,Training,0,1.8159999999999998,0.8859999999999999,11.231,5.359,C(=C)[Si](C=C)(C=C)C=C,molid99
Phenyldimethylsilane,37.85000000000002,41.07000000000005,Training,0,2.048,0.883,13.15,4.9639999999999995,C1(=CC=CC=C1)[SiH](C)C,molid100
Ethyltriacetoxysilane,103.85000000000002,76.17000000000002,Training,0,2.4019999999999997,0.929,8.033,5.79,C(C)[Si](OC(C)=O)(OC(C)=O)OC(C)=O,molid101
Cyclopentadienyltrimethylsilane,28.850000000000023,38.900000000000034,Training,0,1.9509999999999998,0.871,13.654000000000002,5.61,C1(C=CC=C1)[Si](C)(C)C,molid102
3-(Trimethylsilyl)cyclopentene,25.850000000000023,35.37999999999999,Training,0,1.9509999999999998,0.858,14.113,5.617000000000001,C[Si](C1C=CCC1)(C)C,molid103
"(2,4-Pentadienyl)trimethylsilane",17.850000000000023,30.56,Training,0,1.9380000000000002,0.861,15.655999999999999,4.8210000000000015,C(C=CC=C)[Si](C)(C)C,molid104
n-Octyltrichlorosilane,95.85000000000002,100.0,Training,0,2.4,0.938,18.648,5.6679999999999975,C(CCCCCCC)[Si](Cl)(Cl)Cl,molid105
n-Heptylmethyldichlorosilane,65.85000000000002,79.49000000000002,Training,0,2.25,0.914,18.925,5.306,C(CCCCCC)[Si](Cl)(Cl)C,molid106
Triethylacetoxysilane,40.85000000000002,40.12000000000001,Training,0,2.028,0.877,10.012,5.813,C(C)C(C(=O)O[SiH3])(CC)CC,molid107
Vinyltriethoxysilane,33.850000000000016,46.390000000000036,Training,0,2.206,0.8859999999999999,6.7620000000000005,5.746,C(=C)[Si](OCC)(OCC)OCC,molid108
Vinyltriethylsilane,24.850000000000023,21.530000000000033,Training,0,1.8159999999999998,0.848,12.735999999999999,5.6679999999999975,C(=C)[Si](CC)(CC)CC,molid109
Tetraethoxysilane,49.850000000000016,55.12000000000001,Training,0,2.32,0.8859999999999999,8.575,5.5729999999999995,C(C)O[Si](OCC)(OCC)OCC,molid111
Tetraethylsilane,25.850000000000023,17.230000000000018,Training,0,1.8159999999999998,0.836,12.179,5.769,C(C)[Si](CC)(CC)CC,molid112
n-Octylsilane,35.85000000000002,30.43000000000001,Training,0,2.15,0.83,18.175,4.138999999999999,C(CCCCCCC)[SiH3],molid113
Aminoethylaminopropyltrimethoxysilane,95.85000000000002,76.20000000000005,Training,0,2.536,0.882,15.630999999999998,5.091,NCCNCCC[Si](OC)(OC)OC,molid114
Octamethyltrisiloxane,29.850000000000023,42.54000000000002,Training,0,2.129,0.856,7.213999999999999,6.732,C[Si](O[Si](O[Si](C)(C)C)(C)C)(C)C,molid115
Octamethylcyclotetrasiloxane,56.850000000000016,51.74000000000001,Training,0,2.3680000000000003,0.875,-1.516,7.355,C[Si]1(O[Si](O[Si](O[Si](O1)(C)C)(C)C)(C)C)C,molid116
Tetrakisdimethylsiloxysilane,66.85000000000002,97.65000000000003,Training,0,2.5639999999999996,0.863,15.703,7.6110000000000015,C[SiH](O[Si](O[SiH](C)C)(O[SiH](C)C)O[SiH](C)C)C,molid118
Methylphenyldimethoxysilane,75.85000000000002,78.24000000000002,Training,0,2.432,0.899,12.190999999999999,5.995,C[Si](OC)(OC)C1=CC=CC=C1,molid120
Phenyltrimethoxysilane,84.85000000000002,72.78000000000003,Training,0,2.355,0.91,11.615,5.6560000000000015,C1(=CC=CC=C1)[Si](OC)(OC)OC,molid121
Trimethylphenylsilane,39.85000000000002,48.140000000000036,Training,0,2.072,0.8809999999999999,13.65,5.472,C[Si](C1=CC=CC=C1)(C)C,molid122
Cyclohexylmethyldimethoxysilane,69.85000000000002,64.90000000000003,Training,0,2.273,0.872,12.069,6.551,C1(CCCCC1)C[SiH](OC)OC,molid124
3-Glycidoxypropyltrimethoxysilane,109.85000000000002,101.68,Training,0,2.821,0.898,15.33,5.434,C(C1CO1)OCCC[Si](OC)(OC)OC,molid125
Di-t-butylmethylchlorosilane,68.85000000000002,47.31,Training,0,1.794,0.88,13.618,7.015,C(C)(C)(C)[Si](Cl)(C)C(C)(C)C,molid126
Triisopropylsilane,36.85000000000002,29.120000000000005,Training,0,1.8869999999999998,0.836,13.335999999999999,6.274,C(C)(C)[SiH](C(C)C)C(C)C,molid128
Tri-n-propylsilane,42.85000000000002,38.03000000000004,Training,0,2.13,0.836,15.632,5.287000000000001,C(CC)[SiH](CCC)CCC,molid129
1-Chlorononamethyltetrasiloxane,73.85000000000002,84.96000000000005,Training,0,2.487,0.884,6.773,7.907999999999999,Cl[Si](O[Si](O[Si](O[Si](C)(C)C)(C)C)(C)C)(C)C,molid131
Propyltris(dimethylsiloxy)silane,49.850000000000016,73.96000000000005,Training,0,2.504,0.8590000000000001,7.216,7.5070000000000014,C(CC)[Si](O[SiH](C)C)(O[SiH](C)C)O[SiH](C)C,molid132
Benzyltrimethylsilane,61.850000000000016,65.98000000000002,Training,0,2.235,0.878,15.368,6.0120000000000005,C(C1=CC=CC=C1)[Si](C)(C)C,molid133
n-Octyldimethylchlorosilane,96.85000000000002,80.27000000000005,Training,0,2.4,0.878,21.374000000000002,5.246,C(CCCCCCC)[Si](Cl)(C)C,molid135
