Compound,TB(K),Ref.,YBP,TFP(K)Ref.,NFP,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,G13,G14,G15,G16,G17,G18,G19,G20,G21,G22,G23,G24,G25,G26,G27,NFP(eq6),TFP(eq4),AD,Column1,_1,_2,_3,_4,_5,_6,_7,_8,_9
cyclopropylamine,322,A,17.28,248,B,18.46,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.96,251,3,,,,,,,,,,
N-methylisopropylamine,324,A,17.44,253,K,19.19,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.11,252,1,,,,,,,,,,
diethylamine,328,S,17.76,250,S,18.75,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.43,255,5,,,,,,,,,,
sec-butylamine,336,N,18.43,254,S,19.34,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.08,259,5,,,,,,,,,,
allylmethylamine,339,S,18.68,265,S,21.001,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.47,262,3,,,,,,,,,,
isobutylamine,341,N,18.85,263,A,20.7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.49,262,1,,,,,,,,,,
butylamine,351,N,19.72,266,S,21.16,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.34,267,1,,,,,,,,,,
cyclobutylamine,355,N,20.08,269,A,21.62,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.69,269,0,,,,,,,,,,
diisopropylamine,357,N,20.26,266,F,21.16,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.86,271,5,,,,,,,,,,
3-pentanamine,363,A,20.81,275,A,22.56,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.4,274,1,,,,,,,,,,
N-methylbutylamine,364,A,20.9,275,L,22.56,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.49,275,0,,,,,,,,,,
pentylamine,377,S,22.14,277,A,22.87,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.7,282,5,,,,,,,,,,
cyclopentylamine,381,N,22.53,285,F,24.15,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.08,285,0,,,,,,,,,,
dipropylamine,383,A,22.73,280,S,23.35,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.27,286,6,,,,,,,,,,
hexylamine,404,A,24.9,300,A,26.62,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.38,299,1,,,,,,,,,,
diisobutylamine,410,A,25.55,303,S,27.13,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.01,302,1,,,,,,,,,,
heptylamine,430,A,27.8,317,S,29.53,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.21,315,2,,,,,,,,,,
dibutylamine,432,A,28.04,320,I,30.05,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.44,317,3,,,,,,,,,,
2-ethyl-1-hexanamine,442,N,29.24,323,A,30.58,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.61,323,0,,,,,,,,,,
octylamine,453,A,30.6,333,A,32.36,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.94,331,2,,,,,,,,,,
nonylamine,474,N,33.35,347,S,34.93,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.61,345,2,,,,,,,,,,
1-decanamine,491,B,35.72,358,L,36.99,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.92,358,0,,,,,,,,,,
N-ethylcyclohexanamine,437,A,28.63,318,S,29.7,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.02,320,2,,,,,,,,,,
di-sec-butylamine,407,A,25.22,297,F,26.12,0,,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.69,300,3,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(aminomethyl)cyclohexane,419,N,26.54,316,A,29.35,1,27.98,308,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
