Compound,TB(K),Ref.,YBP,TFP(K)Ref.,NFP,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,G13,G14,G15,G16,G17,G18,G19,G20,G21,G22,G23,G24,G25,G26,G27,NFP(eq6),TFP(eq4),AD,Column1,_1,_2,_3,_4,_5,_6,_7,_8,_9
2-chloropentane,370,N,21.47,274,S,22.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,22.54,275,1,,,,,,,,,,
3-chloropropene,317,A,16.88,245,S,18.021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,18.22,246,1,,,,,,,,,,
2-chloro-2-methylpropane,324,N,17.44,250,S,18.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,18.61,249,1,,,,,,,,,,
1-chloro-2-methylpropane,342,N,18.94,256,A,19.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,20.07,259,3,,,,,,,,,,
chlorocyclopentane,387,N,23.13,288,A,24.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,24.16,285,3,,,,,,,,,,
chlorocyclohexane,415,A,26.1,301,F,26.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,27.05,303,2,,,,,,,,,,
"1,1-dichloropropane",361,N,20.63,280,S,23.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,23.25,279,1,,,,,,,,,,
"1,1-dichloroethane",331,N,18.01,263,S,20.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,20.7,263,0,,,,,,,,,,
"1,2-dichloroethane",357,N,20.26,286,A,24.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,22.9,277,9,,,,,,,,,,
"1,2-dichloropropane",369,A,21.37,286,G,24.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,23.98,284,2,,,,,,,,,,
"1,3-dichloropropane",393,A,23.74,294,A,25.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,26.29,298,4,,,,,,,,,,
bromoethane,312,N,16.49,253,A,19.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,19.07,252,1,,,,,,,,,,
1-bromopropane,344,S,19.11,269,B,21.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,21.62,269,0,,,,,,,,,,
1-bromobutane,374,N,21.85,283,S,23.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,24.3,286,3,,,,,,,,,,
1-bromopentane,403,L,24.79,303,A,27.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,27.16,303,0,,,,,,,,,,
1-bromohexane,429,F,27.69,320,A,30.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,29.98,320,0,,,,,,,,,,
1-bromoheptane,452,A,30.47,334,G,32.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,32.7,335,1,,,,,,,,,,
1-bromooctane,474,N,33.35,351,A,35.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,35.5,350,1,,,,,,,,,,
2-bromopentane,390,A,23.44,294,L,25.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,25.84,295,1,,,,,,,,,,
2-bromohexane,419,B,26.54,313,L,28.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,28.87,313,0,,,,,,,,,,
3-bromopentane,391,L,23.54,292,S,25.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,25.94,296,4,,,,,,,,,,
bromocyclopentane,411,A,25.65,308,B,27.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,28,308,0,,,,,,,,,,
3-bromohexane,417,A,26.32,313,L,28.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,28.65,312,1,,,,,,,,,,
bromocyclohexane,440,S,28.99,335,A,32.73,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,31.25,327,8,,,,,,,,,,
iodoethane,344,O,19.11,268,G,21.46,,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,21.59,269,1,,,,,,,,,
2-iodobutane,393,S,23.74,297,S,26.12,,0,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,26.11,297,0,,,,,,,,,
1-iodobutane,404,L,24.9,306,A,27.63,0,1,27,304,2712,,428,27.57,316,,29,1,30,319,3,,,,,,,,,,,,,,,,,,,,,,,,
2-iodopentane,420,L,26.66,318,L,29.7,1,28.95,314,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iodocyclopentane,440,L,28.99,325,S,30.93,0,1,31,327,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3-iodohexane,445,L,29.6,328,L,31.47,0,1,32,330,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-iodohexane,453,N,30.6,334,S,32.54,0,1,33,335,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-iodoheptane,477,A,33.76,352,L,35.86,0,1,36,352,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-iodooctane,499,L,36.89,368,F,38.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,38.91,368,0,,,,,,,,,,
dimethyldisulfide,382,F,22.63,283,F,23.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,23.95,284,1,,,,,,,,,,
diethyldisulfide,426,S,27.34,312,A,28.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,28.54,311,1,,,,,,,,,,
dipropyldisulfide,469,S,32.68,339,B,33.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,33.74,341,2,,,,,,,,,,
di-tert-butyldisulfide,471,A,32.95,340,B,33.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,34,342,2,,,,,,,,,,
dibutyldisulfide,504,N,37.63,366,L,38.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,38.56,366,0,,,,,,,,,,
ethylpropyldisulfide,446,N,29.73,330,L,31.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,30.86,325,5,,,,,,,,,,
nitrocyclohexane,479,N,34.03,354,A,36.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,36.63,356,2,,,,,,,,,,
nitrocyclopentane,454,L,30.73,340,A,33.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,33.41,339,1,,,,,,,,,,
nitroethane,389,N,23.33,301,S,26.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,26.2,298,3,,,,,,,,,,
2-nitropropane,393,S,23.74,301,B,26.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,26.6,300,1,,,,,,,,,,
1-nitropropane,404,L,24.9,307,F,27.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,27.73,307,0,,,,,,,,,,
1-nitrobutane,426,A,27.34,320,A,30.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,30.11,320,0,,,,,,,,,,
1-nitropentane,446,A,29.73,334,S,32.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,32.43,333,1,,,,,,,,,,
1-nitrohexane,467,Y,32.41,345,L,34.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,35.05,348,3,,,,,,,,,,
2-nitropentane,422,L,26.88,319,L,29.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,29.66,318,1,,,,,,,,,,
ethylvinylether,307,B,16.11,228,B,15.631,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.79,236,8,,,,,,,,,,
allylamine,326,S,17.6,245,B,18.021,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.42,255,10,,,,,,,,,,
acrolein,326,S,17.6,254,L,19.341,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.25,253,1,,,,,,,,,,
"2,3-dihydrofuran",328,S,17.76,249,A,18.601,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.4,248,1,,,,,,,,,,
propylvinylether,338,S,18.59,251,A,18.901,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.21,253,2,,,,,,,,,,
allylethylether,338,A,18.59,253,F,19.191,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.21,253,0,,,,,,,,,,
tert-butylvinylether,349,A,19.55,256,S,19.641,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.14,259,3,,,,,,,,,,
2-methyl-2-propenal,342,N,18.94,258,S,19.941,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.55,262,4,,,,,,,,,,
3-chloro-2-methyl-1-propene,345,N,19.2,261,F,20.391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,20.47,262,1,,,,,,,,,,
"2,3-dihydro-5-methylfuran",355,N,20.08,261,S,20.391,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.66,263,2,,,,,,,,,,
isobutylvinylether,356,N,20.17,264,A,20.851,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.75,263,1,,,,,,,,,,
diallylether,367,N,21.18,266,A,21.162,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.88,271,5,,,,,,,,,,
allylpropylether,365,A,21,268,S,21.461,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.55,269,1,,,,,,,,,,
acrylonitrile,350,B,19.63,268,S,21.461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,21.35,267,1,,,,,,,,,,
methylacrylate,353,L,19.9,270,S,21.771,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.98,271,1,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ethylacrylate,372,S,21.66,281,A,23.51,1,1,0,23.69,282,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-bromo-1-butene,372,N,21.66,282,A,23.67,1,0,0,0,1,24,286,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ethylmethacrylate,392,S,23.64,292,S,25.29,1,1,0,0,0,26,294,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
methylmethacrylate,374,N,21.85,283,A,23.83,1,1,0,0,0,24,283,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
butylmethacrylate,436,L,28.51,322,F,30.401,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.37,322,0,,,,,,,,,,
isobutylmethacrylate,428,B,27.57,314,A,29.011,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.45,317,3,,,,,,,,,,
isopropenylacetate,370,L,21.47,283,A,23.831,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.51,281,2,,,,,,,,,,
allylformate,358,L,20.35,279,D,23.191,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.42,274,5,,,,,,,,,,
allylacetate,376,A,22.04,284,S,23.991,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.07,284,0,,,,,,,,,,
allylpropanoate,398,S,24.26,298,S,26.291,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.23,298,0,,,,,,,,,,
allylbutanoate,420,L,26.66,315,S,29.181,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.56,311,4,,,,,,,,,,
trans-2-butenal,377,S,22.14,282,S,23.671,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.68,282,0,,,,,,,,,,
3-iodo-1-propene,376,N,22.04,289,S,24.801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,24.6,288,1,,,,,,,,,,
3-buten-2-ol,369,B,21.37,293,F,25.461,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.8,295,2,,,,,,,,,,
vinylacetate,345,A,19.2,265,A,21.001,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.29,267,2,,,,,,,,,,
vinylpropanoate,368,L,21.28,279,F,23.191,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.32,280,1,,,,,,,,,,
vinylbutanoate,389,N,23.33,293,S,25.461,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.32,292,1,,,,,,,,,,
2-butenenitrile,389,A,23.33,290,A,24.961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,24.95,290,0,,,,,,,,,,
diallyldisulfide,461,N,31.63,335,S,32.732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,33,337,2,,,,,,,,,,
4-penten-1-ol,410,A,25.55,316,A,29.351,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.86,319,3,,,,,,,,,,
3-butenenitrile,392,N,23.64,294,T,25.621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,25.25,292,2,,,,,,,,,,
propylacrylate,396,A,24.05,297,A,26.121,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.02,296,1,,,,,,,,,,
mesityloxide,403,N,24.79,298,I,26.291,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.26,298,0,,,,,,,,,,
styrene,419,N,26.54,304,A,27.291,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.93,302,2,,,,,,,,,,
propylmethacrylate,414,A,25.98,308,L,27.971,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.91,308,0,,,,,,,,,,
3-buten-1-ol,387,N,23.13,305,A,27.461,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.51,305,0,,,,,,,,,,
2-methyl-2-propen-1-ol,388,N,23.23,306,A,27.631,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.61,306,0,,,,,,,,,,
butylacrylate,418,A,26.43,310,A,28.321,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.34,310,0,,,,,,,,,,
a-methylstyrene,438,N,28.75,313,A,28.831,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.08,314,1,,,,,,,,,,
4-methylstyrene,445,L,29.6,319,S,29.881,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.91,319,0,,,,,,,,,,
4-pentenylacetate,418,N,26.43,318,A,29.701,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.34,310,8,,,,,,,,,,
5-hexen-1-ol,413,N,25.87,320,A,30.051,0,0,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.18,321,1,,,,,,,,,,
3-methylstyrene,445,A,29.6,321,L,30.231,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.91,319,2,,,,,,,,,,
acrylicacid,412,N,25.76,327,F,31.29,1,0,1,0,0,32,329,2785,,451,,30.35,325,31,1,31,323,,,,,,,,,,,,,,,,,,,,,,
2-cyclohexen-1-one,445,S,29.6,329,A,31.65,1,1,31,325,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trans-2-hexenylacetate,439,A,28.87,331,A,32,1,1,0,0,30.72,324,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N-vinyl-N-methylacetamide,438,A,28.75,336,L,32.91,1,0,0,1,0,33,335,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3,7-dimethyl-6-octenal",481,N,34.31,351,B,35.67,1,0,1,0,0,36,350,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pulegone,497,S,36.59,366,L,38.52,1,0,1,0,0,38,362,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a-terpinylacetate,493,S,36.01,358,L,36.991,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.67,362,4,,,,,,,,,,
isophorone,488,L,35.29,357,A,36.801,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.49,355,2,,,,,,,,,,
2-ethylhexylacrylate,490,N,35.58,359,B,37.181,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.25,359,0,,,,,,,,,,
trans-2-pentenoicacid,478,A,33.9,375,L,40.261,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.51,371,4,,,,,,,,,,
citronellylacetate,513,S,39,376,S,40.461,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.58,377,1,,,,,,,,,,
9-decen-1-ol,511,L,38.69,392,O,43.641,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.67,387,5,,,,,,,,,,
5-chloro-1-pentyne,386,F,23.03,288,A,24.64,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,24.85,289,1,,,,,,,,,,
2-propyn-1-ol,387,N,23.13,309,L,28.15,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.15,309,0,,,,,,,,,,
methyl2-octynoate,492,N,35.87,362,L,37.75,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.17,364,2,,,,,,,,,,
"1,1-dichloroethene",304,N,15.88,248,S,18.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,18.63,249,1,,,,,,,,,,
fluorobenzene,358,A,20.35,258,F,19.94,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,21.52,268,10,,,,,,,,,,
"2,2-dichloropropane",342,N,18.94,268,A,21.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,21.61,269,1,,,,,,,,,,
4-fluorotoluene,389,A,23.33,285,L,24.15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,24.42,287,2,,,,,,,,,,
4-fluorostyrene,420,L,26.66,308,S,27.971,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,27.8,307,1,,,,,,,,,,
1-ethyl-4-fluorobenzene,412,L,25.76,303,A,27.13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,26.79,301,2,,,,,,,,,,
"1,2-dimethyl-4-fluorobenzene",422,L,26.88,313,A,28.83,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,27.88,307,6,,,,,,,,,,
"1-fluoro-3,5-dimethylbenzene",418,L,26.43,308,A,27.97,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,27.44,305,3,,,,,,,,,,
"2,3-butanedione",361,N,20.63,283,F,23.83,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.92,284,1,,,,,,,,,,
2-fluorotoluene,386,A,23.03,285,A,24.15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,24.13,285,0,,,,,,,,,,
3-fluorotoluene,388,A,23.23,285,A,24.15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,24.32,286,1,,,,,,,,,,
"1,1-diethoxypropane",396,S,24.05,286,L,24.31,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.24,292,6,,,,,,,,,,
N-methylmorpholine,387,L,23.13,287,S,24.48,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.7,288,1,,,,,,,,,,
1-methylpyrrole,386,N,23.03,288,F,24.64,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.58,288,0,,,,,,,,,,
pyridine,389,N,23.33,290,A,24.96,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.87,289,1,,,,,,,,,,
chloromethylmethylsulfide,378,S,22.24,290,A,24.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,24.14,285,5,,,,,,,,,,
ethyleneglycoldiethylether,395,A,23.95,292,F,25.29,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.14,291,1,,,,,,,,,,
2-picoline,402,N,24.68,299,F,26.45,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.19,297,2,,,,,,,,,,
"1,2-dichlorobutane",397,N,24.16,300,S,26.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,26.69,300,0,,,,,,,,,,
chlorobenzene,405,N,25,301,F,26.79,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,26.81,301,0,,,,,,,,,,
3-methoxypropylamine,391,A,23.54,296,L,25.95,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.91,296,821,N-ethylmorpholine,412,25.76,304,27,1,27.27,304,0,
pyrrole,404,L,24.9,306,U,27.63,1,1,0,27.21,303,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1,2-propanediamine",393,N,23.74,306,B,27.63,0,2,0,27.29,304,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1,3-dichlorobutane",407,S,25.22,304,S,27.29,0,0,0,0,2,28,307,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
morpholine,403,L,24.79,304,S,27.29,0,0,1,0,1,0,0,27.13,303,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3-picoline,417,N,26.32,309,A,28.15,1,0,0,0,0,1,0,27.78,307,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4-picoline,418,N,26.43,311,B,28.49,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.89,307,4,,,,,,,,,,
"2,4-pentanedione",411,N,25.65,311,S,28.49,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.82,313,2,,,,,,,,,,
ethylchloroacetate,418,B,26.43,326,B,31.11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,29.73,318,8,,,,,,,,,,
"1,4-dichlorobutane",427,A,27.46,316,S,29.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,29.91,319,3,,,,,,,,,,
2-chlorotoluene,432,N,28.04,320,F,30.05,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,29.77,318,2,,,,,,,,,,
3-chloro-1-propanethiol,423,L,27,316,S,29.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,29.24,315,1,,,,,,,,,,
propyleneglycolmonomethyletheracetate,419,A,26.54,315,B,29.18,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.16,315,0,,,,,,,,,,
2-methoxyethylacetate,418,N,26.43,316,F,29.35,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.05,314,2,,,,,,,,,,
"2,4-dimethylpyridine",432,A,28.04,320,S,30.05,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.46,317,3,,,,,,,,,,
4-chlorotoluene,435,N,28.39,319,L,29.88,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,30.12,320,1,,,,,,,,,,
