No,Compond Name,CAS NO.,Status,Observed,Predicted,RNF,1X,Qmax,DPSA2,IB,δtot2
57,N-Methyl-N-trimethylsilyltrifluroacetamide(N-Methyl-N-(trimethylsilyl)trifluoroacetamide),24589-78-4,Training,298.15,290.04,0.13,5.07,0.19,216.68,0,-7.34
58,Propargyloxytrimethylsilane,5582-62-7,Training,300.15,288.31,0,3.56,0.04,100.74,0,2.56
59,Divinyldimethylsilane,10519-87-6,Training,281.15,275.88,0,3.12,0.02,67.49,0,2.88
60,n-Hexyltrichlorosilane,928-65-4,Training,358.15,343.3,0,4.56,0.05,127.22,0,-5.97
61,Hexyltriflurosilane,96164-66-8,Training,266.15,285.05,0.13,4.56,0.12,161.22,0,-7.3
62,n-Amylmethyldichlorosilane,13682-99-0,Training,308.15,330.74,0,4.06,0.03,109.06,0,-5.37
63,Hexyldichlorosilane,871-64-7,Training,337.15,333.25,0,4.27,0.07,118.51,0,-5.56
64,"1,1 -Dimethyl-1-sila-2-oxacyclohexane",5833-47-6,Training,287.15,289.31,0,3.71,0.03,108.83,0,3.08
65,Acetoxymethyltrimethylsilane,2917-65-9,Training,293.15,295.33,0,3.95,0.08,153.95,0,1.88
66,Allyltrimethylsilane,762-72-1,Training,280.15,274.16,0,3.06,0.02,75.25,0,3.59
67,Cyclotetramethylenedimethylsilane,1072-54-4,Training,288.15,273.69,0,3.21,0.02,73.9,0,4.53
68,Triethylchlorosilane,994-30-9,Training,303.15,307.57,0,3.68,0.02,92.21,0,-1.52
69,t-Butyldimethylchlorosilane,18162-48-6,Training,295.15,296.52,0,3.25,0.02,91.47,0,-1.64
70,3-Chloropropylmethyldimethoxysilane,18171-19-2,Training,318.15,317.89,0,4.68,0.05,187,0,0.96
71,Trimethyl-n-propoxysilane,1825-63-4,Training,283.15,278.95,0,3.56,0.03,124.81,0,5.4
72,t-Butyldimethylsilanol,18173-64-3,Training,318.15,274.28,0,3.25,0.09,113.95,0,2.72
73,Dimethyldiethoxysilane,78-62-6,Training,284.15,293.06,0,4.12,0.03,163.19,0,4.73
74,Triethylsilane,617-86-7,Training,270.15,276.93,0,3.35,0.03,85.14,0,4.24
75,Hexylsilane,1072-14-6,Training,285.15,290.05,0,3.41,0.02,92.68,0,2.04
76,t-Butyld imethyl silane,29681-57-0,Training,251.15,268.99,0,2.94,0.03,80.25,0,3.7
77,Bis(dimethylamino)dimethylsilane,3768-58-9,Training,266.15,282.46,0,3.89,0.02,142.49,0,6.66
78,Hexamethylcyclotrisiloxane,541-05-9,Training,305.15,299.77,0,5.12,0.03,216.52,0,9.9
79,Hexamethyldisilthiane,3385-94-2,Training,299.15,282.61,0,3.71,0.02,134.98,0,6
80,Hexamethyldisilazane,999-97-3,Training,281.15,278.42,0,3.71,0.05,147.79,0,6.03
81,Tris(dimethylamino)silane,15112-89-7,Training,298.15,288.6,0,4.46,0.05,181.81,0,7.95
82,Hexamethyltrisiloxane,1189-93-1,Training,293.15,286.64,0,4.83,0.04,248.5,0,10.66
83,p-Tolytrichlorosilane,701-35-9,Training,365.15,360.83,0,5,0.06,94.05,0,-7.38
84,Phenylmethyldichlorosilane,149-74-6,Training,340.15,348.92,0,4.61,0.03,81.85,0,-6.22
85,Phenylmethylchlorosilane,1631-82-9,Training,355.15,328.63,0,4.3,0.05,81.56,0,-3.16
86,Methyltriacetoxysilane,4253-34-3,Training,358.15,347.88,0,6.25,0.09,291.77,0,1.36
87,Trivinylmethylsilane,18244-95-6,Training,288.15,292.22,0,3.68,0.02,70.31,0,2.67
