compound,smiles,flashPoint,id
TITANIUM TETRAKIS(DIMETHYLAMIDE),C[N-]C.C[N-]C.C[N-]C.C[N-]C.[Ti+4],-1,molid480
LEAD(II) NITRATE,[N+](=O)([O-])[O-].[Pb+2].[N+](=O)([O-])[O-],20,molid493
TRIS(TRIMETHYLSILOXY)BORON,C[Si](OB(O[Si](C)(C)C)O[Si](C)(C)C)(C)C,42,molid498
DIMETHYLDIFLUOROTIN,C[Sn](F)(F)C,20,molid535
DIOCTYLDILAURYLTIN,C(CCCCCCC)[Sn](CCCCCCCCCCCC)(CCCCCCCCCCCC)CCCCCCCC,70,molid540
DIVINYLDI-n-BUTYLTIN,C(=C)[Sn](CCCC)(CCCC)C=C,65,molid545
p-FLUOROPHENYLTRI-n-BUTYLTIN,FC1=CC=C(C=C1)[Sn](CCCC)(CCCC)CCCC,110,molid550
PHENYLTRI-n-BUTYLTIN,C1(=CC=CC=C1)[Sn](CCCC)(CCCC)CCCC,107,molid555
TETRA-p-TOLYLTIN,C1(=CC=C(C=C1)[Sn](C1=CC=C(C=C1)C)(C1=CC=C(C=C1)C)C1=CC=C(C=C1)C)C,200,molid576
TIN,[Sn],1166,molid579
TRI-n-BUTYLCHLOROTIN,C(CCC)[Sn](Cl)(CCCC)CCCC,120,molid594
TRIPHENYLHYDROXYTIN,C1(=CC=CC=C1)[Sn](O)(C1=CC=CC=C1)C1=CC=CC=C1,110,molid614
VINYLTRI-n-BUTYLTIN,C(=C)[Sn](CCCC)(CCCC)CCCC,110,molid618
