No.,Compounds Name,Observed,Predicted,Status,nF,RDCHI,MATS1m,Mor02p,RTv
68,Acetoxymethyltrimethylsilane,293,295.97 ,Training,0,1.858,0.882,11.699,4.619
69,Allyltrimethylsilane,280,268.92 ,Training,0,1.604,0.848,13.008,4.352
70,Cyclotetramethylenedimethylsilane,288,284.11 ,Training,0,1.745,0.845,15.286,4.651
71,Triethylchlorosilane,303,295.60 ,Training,0,1.703,0.888,12.665,5.072
72,t-Butyldimethylchlorosilane,295,293.24 ,Training,0,1.549,0.888,14.179,5.421
73,3-Chloropropyltrimethoxysilane,348,324.04 ,Training,0,2.1,0.913,10.162,5.198
74,Trimethyl-n-propoxysilane,283,280.63 ,Training,0,1.774,0.853,12.509,4.438
75,t-Butyldimethylsilanol,318,276.67 ,Training,0,1.549,0.852,14.717,4.933
76,Dimethyldiethoxysilane,284,288.99 ,Training,0,1.887,0.869,8.448,4.869
77,Triethylsilane,270,268.33 ,Training,0,1.698,0.83,13.052,4.355
78,Hexylsilane,285,272.24 ,Training,0,1.84,0.825,14.878,3.725
79,t-Butyldimethylsilane,251,265.47 ,Training,0,1.509,0.83,14.789,4.811
80,Bis(dimethylamino)dimethylsilane,266,281.25 ,Training,0,1.717,0.851,10.415,5.306
81,Hexamethylcyclotrisiloxane,305,303.37 ,Training,0,2.068,0.875,3.909,5.92
82,Hexamethyldisilthiane,299,289.52 ,Training,0,1.733,0.862,10.57,5.608
83,Hexamethyldisilane,272,263.93 ,Training,0,1.549,0.834,10.32,5.192
84,Tris(dimethylamino)silane,298,290.77 ,Training,0,1.887,0.855,8.334,5.531
85,Hexamethyltrisiloxane,293,297.83 ,Training,0,2.042,0.855,5.998,5.791
86,p-Tolytrichlorosilane,365,365.12 ,Training,0,2.149,0.98,12.217,6.201
87,Phenylmethyldichlorosilane,355,357.16 ,Training,0,2.203,0.955,11.59,6.094
88,Phenylmethylchlorosilane,355,330.23 ,Training,0,2.048,0.93,11.776,5.196
89,Trivinylmethylsilane,288,285.44 ,Training,0,1.703,0.876,11.769,4.679
90,Cyclohexylmethyldichlorosilane,355,349.11 ,Training,0,2.072,0.928,12.895,6.713
91,"1-(Trimethylsiloxy)-1,3-butadiene",298,301.92 ,Training,0,1.938,0.877,13.834,4.476
92,2-Chloromethyl-3-trimethylsilyl-1-propene,316,310.31 ,Training,0,1.833,0.894,12.647,5.545
93,n-Hexylmethyldichlorosilane,358,341.50 ,Training,0,2.097,0.919,17.436,5.238
94,Vinylmethyldiethoxysilane,289,302.04 ,Training,0,1.992,0.878,8.322,5.245
95,Ethyl(2-trimethylsilyl)acetate,308,311.54 ,Training,0,1.985,0.879,15.937,4.644
96,Vinyldiethylmethylsilane,288,281.67 ,Training,0,1.703,0.848,13.193,4.973
97,N-(Trimethylsilyl)morpholine,300,313.24 ,Training,0,2.072,0.867,11.691,5.56
98,Bis(trimethylsilyl)carbodiimide,315,334.58 ,Training,0,2.063,0.867,25.353,4.935
99,t-Butoxytrimethylsilane,287,283.94 ,Training,0,1.733,0.853,10.645,5.36
100,Vinylpentamethyldisiloxane,285,292.80 ,Training,0,1.859,0.858,9.821,5.488
101,Isobutyltrimethoxysilane,315,309.91 ,Training,0,2.028,0.879,10.517,5.323
102,Methyltriethoxysilane,297,310.68 ,Training,0,2.122,0.879,8.897,5.185
103,(Diethylamino)trimethylsilane,283,285.79 ,Training,0,1.787,0.844,10.758,5.509
104,Bis(trimethylsilyl)methane,285,284.43 ,Training,0,1.733,0.833,12.852,5.638
105,Heptamethylsiloxane,296,315.66 ,Training,3,2.587,0.894,6.738,7.692
106,Phenylethyldichlorosilane,365,357.69 ,Training,0,2.18,0.952,12.976,6.1
107,Phenyldimethylchlorosilane,334,336.13 ,Training,0,2.072,0.924,12.601,5.662
108,"(N,N-Dimethylamino)triethylsilane",299,298.03 ,Training,0,1.872,0.844,11.298,6.091
109,Tetravinylsilane,291,301.62 ,Training,0,1.816,0.886,11.231,5.359
110,Phenyldimethylsilane,311,314.22 ,Training,0,2.048,0.883,13.15,4.964
111,Ethyltriacetoxysilane,377,349.32 ,Training,0,2.402,0.929,8.033,5.79
112,Cyclopentadienyltrimethylsilane,302,312.05 ,Training,0,1.951,0.871,13.654,5.61
113,3-(Trimethylsilyl)cyclopentene,299,308.53 ,Training,0,1.951,0.858,14.113,5.617
114,"(2,4-Pentadienyl)trimethylsilane",291,303.71 ,Training,0,1.938,0.861,15.656,4.821
115,n-Octyltrichlorosilane,369,373.15 ,Training,0,2.4,0.938,18.648,5.668
116,n-Heptylmethyldichlorosilane,339,352.64 ,Training,0,2.25,0.914,18.925,5.306
117,Triethylacetoxysilane,314,313.27 ,Training,0,2.028,0.877,10.012,5.813
118,Vinyltriethoxysilane,307,319.54 ,Training,0,2.206,0.886,6.762,5.746
119,Vinyltriethylsilane,298,294.68 ,Training,0,1.816,0.848,12.736,5.668
