casNum,compound,flashPoint,id,img,pre_smiles,productCode,sds,smiles
19429-30-2,DI-t-BUTYLDICHLOROTIN,113.0,molid183,https://www.gelest.com:443/wp-content/uploads/product_thumbnails/SNA0310.gif,C(C)(C)(C)[Sn](Cl)(Cl)C(C)(C)C,SND3253,https://s3.amazonaws.com/gelest/sds/SND3253_GHS+US_English+US.pdf,C(C)(C)(C)[Sn](Cl)(Cl)C(C)(C)C
563-25-7,DI-n-BUTYLDIFLUOROTIN,150.0,molid184,https://www.gelest.com:443/wp-content/uploads/product_thumbnails/SND3255.gif,C(CCC)[Sn](F)(F)CCCC,SND3255,https://s3.amazonaws.com/gelest/sds/SND3255_GHS+US_English+US.pdf,C(CCC)[Sn](F)(F)CCCC
866-55-7,DIETHYLDICHLOROTIN,20.0,molid193,https://www.gelest.com:443/wp-content/uploads/product_thumbnails/SND3403.gif,C(C)[Sn](Cl)(Cl)CC,SND3403,https://s3.amazonaws.com/gelest/sds/SND3403_GHS+US_English+US.pdf,C(C)[Sn](Cl)(Cl)CC
2273-51-0,DIPHENYLTIN OXIDE,205.0,molid206,https://www.gelest.com:443/wp-content/uploads/product_thumbnails/SND4589.gif,C1(=CC=CC=C1)[Sn](C1=CC=CC=C1)=O,SND4589,https://s3.amazonaws.com/gelest/sds/SND4589_GHS+US_English+US.pdf,C1(=CC=CC=C1)[Sn](C1=CC=CC=C1)=O
97674-02-7,1-ETHOXYVINYLTRI-n-BUTYLTIN,113.0,molid210,https://www.gelest.com:443/wp-content/uploads/product_thumbnails/SNE4620.gif,C(C)OC(=C)[Sn](CCCC)(CCCC)CCCC,SNE4620,https://s3.amazonaws.com/gelest/sds/SNE4620_GHS+US_English+US.pdf,C(C)OC(=C)[Sn](CCCC)(CCCC)CCCC
17151-47-2,p-FLUOROPHENYLTRI-n-BUTYLTIN,110.0,molid213,https://www.gelest.com:443/wp-content/uploads/product_thumbnails/SNF4915.gif,FC1=CC=C(C=C1)[Sn](CCCC)(CCCC)CCCC,SNF4915,https://s3.amazonaws.com/gelest/sds/SNF4915_GHS+US_English+US.pdf,FC1=CC=C(C=C1)[Sn](CCCC)(CCCC)CCCC
814-94-8,TIN(II) OXALATE,0.0,molid250,https://www.gelest.com:443/wp-content/uploads/product_thumbnails/SNT7960.gif,C(C(=O)[O-])(=O)[O-].[Sn+2],SNT7960,https://s3.amazonaws.com/gelest/sds/SNT7960_GHS+US_English+US.pdf,C(C(=O)[O-])(=O)[O-].[Sn+2]
21651-19-4,TIN(II) OXIDE,0.0,molid251,https://www.gelest.com:443/wp-content/uploads/product_thumbnails/SNT7968.gif,[Sn]=O,SNT7968,https://s3.amazonaws.com/gelest/sds/SNT7968_GHS+US_English+US.pdf,[Sn]=O
17955-46-3,TRI-n-BUTYLSTANNYLTRIMETHYLSILANE,110.0,molid273,https://www.gelest.com:443/wp-content/uploads/product_thumbnails/SNT8585.gif,C(CCC)[Sn](CCCC)(CCCC)[Si](C)(C)C,SNT8585,https://s3.amazonaws.com/gelest/sds/SNT8585_GHS+US_English+US.pdf,C(CCC)[Sn](CCCC)(CCCC)[Si](C)(C)C
762-66-3,ALLYLTRIMETHYLGERMANE,16.0,molid286,https://www.gelest.com:443/wp-content/uploads/product_thumbnails/GEA0550.gif,C(C=C)[Ge](C)(C)C,GEA0550,https://s3.amazonaws.com/gelest/sds/GEA0550_GHS+US_English+US.pdf,C(C=C)[Ge](C)(C)C
57402-96-7,n-BUTYLGERMANE,23.0,molid291,https://www.gelest.com:443/wp-content/uploads/product_thumbnails/GEB1969.5.gif,C(CCC)[GeH3],GEB1969.5,https://s3.amazonaws.com/gelest/sds/GEB1969.5_GHS+US_English+US.pdf,C(CCC)[GeH3]
1675-58-7,DIPHENYLGERMANE,104.0,molid306,https://www.gelest.com:443/wp-content/uploads/product_thumbnails/GED4550.gif,C1(=CC=CC=C1)[GeH2]C1=CC=CC=C1,GED4550,https://s3.amazonaws.com/gelest/sds/GED4550_GHS+US_English+US.pdf,C1(=CC=CC=C1)[GeH2]C1=CC=CC=C1
993-42-0,ETHYLTRICHLOROGERMANE,51.0,molid307,https://www.gelest.com:443/wp-content/uploads/product_thumbnails/GEE4700.gif,C(C)[Ge](Cl)(Cl)Cl,GEE4700,https://s3.amazonaws.com/gelest/sds/GEE4700_GHS+US_English+US.pdf,C(C)[Ge](Cl)(Cl)Cl
865-52-1,TETRAMETHYLGERMANE,19.0,molid337,https://www.gelest.com:443/wp-content/uploads/product_thumbnails/GET7550.gif,C[Ge](C)(C)C,GET7550,https://s3.amazonaws.com/gelest/sds/GET7550_GHS+US_English+US.pdf,C[Ge](C)(C)C
1048-05-1,TETRAPHENYLGERMANE,200.0,molid338,https://www.gelest.com:443/wp-content/uploads/product_thumbnails/GET7750.gif,C1(=CC=CC=C1)[Ge](C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1,GET7750,https://s3.amazonaws.com/gelest/sds/GET7750_GHS+US_English+US.pdf,C1(=CC=CC=C1)[Ge](C1=CC=CC=C1)(C1=CC=CC=C1)C1=CC=CC=C1
1361237-41-3,(TETRAHYDROFURFURYLOXYPROPYL)METHYLSILOXANE,65.0,molid360,https://www.gelest.com:443/wp-content/uploads/product_thumbnails/DCF-405.gif,C(C1CCCO1)OCCC[Si]([O])C,DCF-405,https://s3.amazonaws.com/gelest/sds/DCF-405_GHS+US_English+US.pdf,C(C1CCCO1)OCCC[Si]([O])C
69861-02-5,3-(3-METHACRYLOXY-2-HYDROXYPROPOXY)PROPYLBIS(TRIMETHYLSILOXY)METHYLSILANE,180.0,molid407,https://www.gelest.com:443/wp-content/uploads/product_thumbnails/SIM6481.15.gif,C(C(=C)C)(=O)OCC(COCCC[SiH2]C(O[Si](C)(C)C)O[Si](C)(C)C)O,SIM6481.15,https://s3.amazonaws.com/gelest/sds/SIM6481.15_GHS+US_English+US.pdf,C(C(=C)C)(=O)OCC(COCCC[SiH2]C(O[Si](C)(C)C)O[Si](C)(C)C)O
