id,compound,smiles,flashPoint
molid72,t-Butyldimethylsilane,C(C)(C)(C)[SiH](C)C,-22.149999999999977
molid74,Hexamethylcyclotrisiloxane,C[Si]1(O[Si](O[Si](O1)(C)C)(C)C)C,31.850000000000023
molid75,Hexamethyldisilthiane,C[Si](S[Si](C)(C)C)(C)C,25.850000000000023
molid76,Hexamethyldisilane,C[Si]([Si](C)(C)C)(C)C,-1.1499999999999773
molid77,Tris(dimethylamino)silane,CN(C)[SiH](N(C)C)N(C)C,24.850000000000023
molid78,Hexamethyltrisiloxane,C[Si](O[SiH2]O[Si](C)(C)C)(C)C,19.850000000000023
molid79,Phenylmethyldichlorosilane,C1(=CC=CC=C1)C[SiH](Cl)Cl,81.85000000000002
molid80,Phenylmethylchlorosilane,C1(=CC=CC=C1)C[SiH2]Cl,81.85000000000002
molid81,Trivinylmethylsilane,C(=C)C(C=C)(C=C)[SiH3],14.850000000000026
molid83,"1-(Trimethylsiloxy)-1,3-butadiene",C[Si](OC=CC=C)(C)C,24.850000000000023
molid85,n-Hexylmethyldichlorosilane,C(CCCCC)[Si](Cl)(Cl)C,84.85000000000002
molid86,Vinylmethyldiethoxysilane,C(=C)C[SiH](OCC)OCC,15.850000000000026
molid87,Vinyldiethylmethylsilane,C(=C)[Si](C)(CC)CC,14.850000000000026
molid88,N-(Trimethylsilyl)morpholine,C[Si](N1CCOCC1)(C)C,26.850000000000023
molid89,Bis(trimethylsilyl)carbodiimide,C[Si](C)(C)N=C=N[Si](C)(C)C,41.85000000000002
molid90,t-Butoxytrimethylsilane,C(C)(C)(C)O[Si](C)(C)C,13.850000000000026
molid91,Vinylpentamethyldisiloxane,C(=C)[Si](O[Si](C)(C)C)(C)C,11.850000000000026
molid92,Isobutyltrimethoxysilane,C(C(C)C)[Si](OC)(OC)OC,41.85000000000002
molid93,Methyltriethoxysilane,C[Si](OCC)(OCC)OCC,23.850000000000023
molid94,(Diethylamino)trimethylsilane,C(C)N(CC)[Si](C)(C)C,9.850000000000025
molid96,Phenylethyldichlorosilane,C1(=CC=CC=C1)CC[SiH](Cl)Cl,91.85000000000002
molid97,Phenyldimethylchlorosilane,C1(=CC=CC=C1)[Si](Cl)(C)C,60.850000000000016
molid98,"(N,N-Dimethylamino)triethylsilane",CN(C)[Si](CC)(CC)CC,25.850000000000023
molid99,Tetravinylsilane,C(=C)[Si](C=C)(C=C)C=C,17.850000000000023
molid100,Phenyldimethylsilane,C1(=CC=CC=C1)[SiH](C)C,37.85000000000002
molid101,Ethyltriacetoxysilane,C(C)[Si](OC(C)=O)(OC(C)=O)OC(C)=O,103.85000000000002
molid102,Cyclopentadienyltrimethylsilane,C1(C=CC=C1)[Si](C)(C)C,28.850000000000023
molid103,3-(Trimethylsilyl)cyclopentene,C[Si](C1C=CCC1)(C)C,25.850000000000023
molid104,"(2,4-Pentadienyl)trimethylsilane",C(C=CC=C)[Si](C)(C)C,17.850000000000023
molid105,n-Octyltrichlorosilane,C(CCCCCCC)[Si](Cl)(Cl)Cl,95.85000000000002
molid106,n-Heptylmethyldichlorosilane,C(CCCCCC)[Si](Cl)(Cl)C,65.85000000000002
molid107,Triethylacetoxysilane,C(C)C(C(=O)O[SiH3])(CC)CC,40.85000000000002
molid108,Vinyltriethoxysilane,C(=C)[Si](OCC)(OCC)OCC,33.850000000000016
molid109,Vinyltriethylsilane,C(=C)[Si](CC)(CC)CC,24.850000000000023
molid111,Tetraethoxysilane,C(C)O[Si](OCC)(OCC)OCC,49.850000000000016
molid112,Tetraethylsilane,C(C)[Si](CC)(CC)CC,25.850000000000023
molid113,n-Octylsilane,C(CCCCCCC)[SiH3],35.85000000000002
molid114,Aminoethylaminopropyltrimethoxysilane,NCCNCCC[Si](OC)(OC)OC,95.85000000000002
molid115,Octamethyltrisiloxane,C[Si](O[Si](O[Si](C)(C)C)(C)C)(C)C,29.850000000000023
